SDSS_NAME,RA,DEC,REDSHIFT,g_SDSS,gerr_SDSS,r_SDSS,rerr_SDSS,i_SDSS,ierr_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,ra,dec,g_HSC,gerr_HSC,r_HSC,rerr_HSC,i_HSC,ierr_HSC,hsc_id
b'092308.66+013159.1',140.786098,1.533085,1.8398,19.567,0.02,19.517,0.022,19.192,0.025,8.76148442512494,-0.49125625964015995,46.370598710602344,140.78609491915222,1.533108557641318,19.7266102,0.00108940923,19.5993652,0.00126192532,19.3156662,0.000668528315,43132604207099324
b'093503.28+003001.6',143.76368,0.500461,1.4702,19.966,0.035,19.924,0.025,19.74,0.029,8.68765432393166,-0.7875608307117758,46.00046403833745,143.76369932353663,0.5004833882503384,19.889555,0.00100370264,19.7450523,0.000918526959,19.6432304,0.000582123117,42072275565959027
b'093751.80-003007.9',144.465845,-0.502207,0.7479,19.847,0.019,19.757,0.024,19.619,0.026,8.409317815686448,-0.9675274425495459,45.54216091825447,144.46585543455117,-0.5021987791676473,19.9126682,0.00107599329,19.7824783,0.00105775136,19.7073193,0.000676453928,41008506656029706
b'100058.40+000531.2',150.243354,0.09201,0.5462,19.578,0.021,19.745,0.022,19.436,0.023,8.995061918480104,-1.6568616489177472,45.43857081467992,150.2433590752595,0.0920089015107295,19.5195026,0.00109535141,19.5475903,0.000960148696,19.4075775,0.000614593911,42089446845204049
b'115254.79+002010.6',178.228324,0.336298,2.3593,19.112,0.026,19.175,0.02,19.041,0.02,9.353276771192121,-0.5866290037641093,46.867018312545575,178.2283191965859,0.3362832281876308,19.1874352,0.000604206813,19.23209,0.000578786421,19.1971893,0.000495162094,42173151462848283
b'120700.96+011539.4',181.754029,1.260972,0.9665,19.227,0.027,19.036,0.019,19.057,0.025,8.526868919418106,-0.5622664122013177,46.06497305233435,181.7540222135338,1.2609790713385154,18.8382645,0.000756019726,18.6707916,0.000705198152,18.7530746,0.000523334485,42187054271984167
b'123028.54+000805.7',187.61893,0.13494,1.5526,19.692,0.021,19.681,0.029,19.402,0.033,9.404626236739617,-1.5219971668414516,45.98299961501573,187.6189302403164,0.1349423787127711,20.1488876,0.00131148135,20.0934658,0.00148741947,19.8176308,0.00082862674,42204620688217016
b'143022.47-002045.2',217.59365,-0.345899,2.5407,20.629,0.026,19.761,0.019,19.428,0.021,0.0,-999.0,46.474573652929365,217.59362886637217,-0.3459043364591236,20.6014576,0.00160137436,19.7252579,0.000992245041,19.3384418,0.000715051778,41223602913182298
b'144113.27-013745.3',220.30531,-1.629258,2.7073,19.085,0.021,19.043,0.015,18.95,0.021,8.905389573316974,-0.01900465302424692,46.98675546541029,220.30529944625508,-1.6292670094617767,18.9882507,0.00071436743,18.8600121,0.000759823597,18.814539,0.000500867958,40163403121064767
b'144437.07+013002.7',221.154488,1.500774,1.2264,20.09,0.025,19.799,0.023,19.798,0.031,8.616305720075289,-0.8913643903918427,45.82531187480101,221.15449291558156,1.500758081368322,19.5382729,0.000721518358,19.4409847,0.000975271279,19.3272038,0.00061004929,43370098718698812
